Buffer (Pacotes);Carga (Fluxos TCP);RTT Medio (ms);Margem Erro RTT (+/-);Jitter Medio (ms);Margem Erro Jitter (+/-)
10;0;63.4;10.48;11.54;5.66
10;1;3311.63;798.97;114.01;17.85
10;5;3795.36;1026.03;141.26;43.3
10;10;2986.05;797.08;145.55;62.46
100;0;68.04;9.83;17.94;6.67
100;1;3361.7;860.85;110.83;35.48
100;5;3756.71;1112.77;134.95;42.66
100;10;3903.53;983.5;100.18;30.23
500;0;62.92;8.69;15.44;6.39
500;1;3000.87;960.19;99.73;29.58
500;5;4027.71;1134.25;137.96;51.17
500;10;5243.33;1291.32;122.57;30.02
1000;0;73.06;10.53;20.4;7.52
1000;1;3796.15;951.76;127.95;16.65
1000;5;4359.28;897.79;146.77;40.82
1000;10;4354.05;1171.83;123.2;38.93
