Fila;Buffer (Pacotes);Carga (Fluxos TCP);RTT Medio (ms);Jitter Medio (ms);Vazao Media (Mbps);Retransmissoes Totais
FIFO;10;1;3311.63;114.01;6.7;1551.0
FIFO;10;5;3795.36;141.26;5.04;1616.0
FIFO;10;10;2986.05;145.55;5.19;1713.0
FIFO;100;1;3361.7;110.83;4.83;1496.0
FIFO;100;5;3756.71;134.95;6.1;1502.0
FIFO;100;10;3903.53;100.18;5.06;2061.0
FIFO;500;1;3000.87;99.73;5.65;1164.0
FIFO;500;5;4027.71;137.96;5.27;1289.0
FIFO;500;10;5243.33;122.57;3.64;1181.0
FIFO;1000;1;3796.15;127.95;5.82;1400.0
FIFO;1000;5;4359.28;146.77;4.83;1428.0
FIFO;1000;10;4354.05;123.2;3.82;1236.0
RED;10;1;30.06;1.57;52.72;1837.0
RED;10;5;29.56;5.34;198.27;4837.0
RED;10;10;35.08;8.37;194.52;5553.0
RED;100;1;39.43;14.89;367.4;0.0
RED;100;5;37.68;10.53;406.39;2.0
RED;100;10;37.44;7.41;433.0;7.0
RED;500;1;37.26;11.19;431.47;1.0
RED;500;5;37.81;8.81;425.04;2.0
RED;500;10;36.82;8.84;447.29;8.0
RED;1000;1;40.33;11.51;422.71;0.0
RED;1000;5;35.35;11.94;383.04;3.0
RED;1000;10;38.71;9.61;443.91;5.0
